"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"20,0";"20,0";"19,7";"";"";"";"";"";"";"917,6";"917,6";"917,3";"1,3";"113,0";"2,8";"";"0,0"
"01/01/2023";"0100";"19,5";"20,0";"19,5";"";"";"";"";"";"";"918,3";"918,3";"917,6";"0,9";"52,0";"3,2";"";"0,0"
"01/01/2023";"0200";"19,1";"19,5";"18,8";"";"";"";"";"";"";"918,3";"918,4";"918,3";"1,2";"53,0";"2,5";"";"0,0"
"01/01/2023";"0300";"18,2";"19,1";"18,2";"";"";"";"";"";"";"917,9";"918,3";"917,9";"1,9";"5,0";"4,5";"";"0,0"
"01/01/2023";"0400";"18,2";"18,2";"18,1";"";"";"";"";"";"";"917,5";"918,0";"917,5";"2,1";"358,0";"4,8";"";"0,0"
"01/01/2023";"0500";"18,0";"18,2";"18,0";"";"";"";"";"";"";"917,2";"917,5";"917,2";"2,1";"346,0";"5,3";"";"0,0"
"01/01/2023";"0600";"17,7";"18,1";"17,7";"";"";"";"";"";"";"917,0";"917,2";"916,9";"2,3";"318,0";"4,2";"";"0,0"
"01/01/2023";"0700";"17,6";"17,8";"17,5";"";"";"";"";"";"";"916,9";"917,1";"916,9";"2,3";"312,0";"3,9";"";"0,0"
"01/01/2023";"0800";"17,7";"17,8";"17,5";"";"";"";"";"";"";"917,0";"917,1";"916,9";"2,1";"279,0";"4,4";"";"0,0"
"01/01/2023";"0900";"18,0";"18,0";"17,6";"";"";"";"";"";"";"917,3";"917,3";"917,0";"2,0";"280,0";"5,0";"51,80";"0,0"
"01/01/2023";"1000";"19,4";"19,4";"18,0";"";"";"";"";"";"";"917,6";"917,6";"917,3";"1,5";"295,0";"4,4";"275,60";"0,0"
"01/01/2023";"1100";"20,7";"20,7";"19,4";"";"";"";"";"";"";"918,2";"918,2";"917,6";"1,9";"334,0";"3,9";"1422,10";"0,0"
"01/01/2023";"1200";"21,8";"21,9";"20,6";"";"";"";"";"";"";"918,3";"918,4";"918,2";"2,8";"352,0";"6,2";"2413,80";"0,0"
"01/01/2023";"1300";"24,2";"24,2";"21,8";"";"";"";"";"";"";"918,4";"918,5";"918,3";"2,5";"355,0";"7,2";"2986,80";"0,0"
"01/01/2023";"1400";"24,1";"24,4";"22,1";"";"";"";"";"";"";"918,2";"918,7";"918,2";"2,6";"340,0";"6,0";"3214,20";"0,0"
"01/01/2023";"1500";"24,3";"25,7";"23,6";"";"";"";"";"";"";"917,7";"918,2";"917,7";"3,1";"10,0";"6,4";"3185,70";"0,0"
"01/01/2023";"1600";"25,8";"26,6";"24,3";"";"";"";"";"";"";"917,3";"917,7";"917,3";"2,2";"13,0";"6,8";"3357,60";"0,0"
"01/01/2023";"1700";"26,0";"27,0";"24,7";"";"";"";"";"";"";"916,5";"917,3";"916,5";"3,1";"24,0";"7,0";"2967,90";"0,0"
"01/01/2023";"1800";"25,6";"27,3";"25,3";"";"";"";"";"";"";"916,2";"916,5";"916,1";"2,5";"63,0";"7,2";"3545,20";"0,0"
"01/01/2023";"1900";"23,4";"25,6";"23,0";"";"";"";"";"";"";"916,1";"916,3";"916,1";"1,9";"104,0";"7,2";"939,30";"0,0"
"01/01/2023";"2000";"22,0";"23,5";"22,0";"";"";"";"";"";"";"915,8";"916,1";"915,7";"2,3";"105,0";"5,5";"546,70";"0,0"
"01/01/2023";"2100";"20,9";"22,0";"20,9";"";"";"";"";"";"";"916,1";"916,2";"915,8";"1,9";"113,0";"4,8";"187,10";"0,0"
"01/01/2023";"2200";"20,3";"21,0";"20,2";"";"";"";"";"";"";"916,0";"916,2";"915,8";"1,7";"96,0";"5,1";"115,60";"0,0"
"01/01/2023";"2300";"19,9";"20,3";"19,8";"";"";"";"";"";"";"916,4";"916,4";"916,0";"2,2";"88,0";"5,4";"2,50";"0,0"
"02/01/2023";"0000";"19,5";"19,9";"19,5";"";"";"";"";"";"";"916,5";"916,6";"916,4";"1,1";"68,0";"5,2";"";"0,0"
"02/01/2023";"0100";"19,3";"19,5";"19,2";"";"";"";"";"";"";"917,2";"917,2";"916,5";"2,1";"40,0";"6,2";"";"0,0"
"02/01/2023";"0200";"18,8";"19,3";"18,8";"";"";"";"";"";"";"917,4";"917,5";"917,2";"2,7";"348,0";"6,2";"";"0,0"
"02/01/2023";"0300";"18,7";"18,8";"18,6";"";"";"";"";"";"";"917,3";"917,6";"917,3";"2,1";"347,0";"5,9";"";"0,0"
"02/01/2023";"0400";"18,6";"18,7";"18,6";"";"";"";"";"";"";"916,6";"917,3";"916,6";"1,4";"325,0";"4,0";"";"0,0"
"02/01/2023";"0500";"18,6";"18,7";"18,5";"";"";"";"";"";"";"915,7";"916,6";"915,7";"2,4";"346,0";"4,8";"";"0,0"
"02/01/2023";"0600";"18,5";"18,6";"18,4";"";"";"";"";"";"";"915,2";"915,7";"915,2";"3,1";"351,0";"5,5";"";"0,0"
"02/01/2023";"0700";"18,5";"18,6";"18,5";"";"";"";"";"";"";"915,0";"915,2";"914,9";"2,3";"337,0";"5,6";"";"0,0"
"02/01/2023";"0800";"18,4";"18,6";"18,3";"";"";"";"";"";"";"914,7";"915,0";"914,6";"2,2";"333,0";"5,2";"";"0,0"
"02/01/2023";"0900";"18,2";"18,4";"18,1";"";"";"";"";"";"";"914,8";"914,9";"914,6";"1,8";"334,0";"5,2";"49,60";"0,0"
"02/01/2023";"1000";"18,8";"18,9";"18,2";"";"";"";"";"";"";"915,3";"915,3";"914,8";"2,0";"341,0";"5,2";"399,00";"0,0"
"02/01/2023";"1100";"19,4";"19,4";"18,7";"";"";"";"";"";"";"915,7";"915,7";"915,3";"2,8";"342,0";"5,9";"411,70";"0,0"
"02/01/2023";"1200";"20,3";"20,3";"19,4";"";"";"";"";"";"";"915,0";"915,7";"915,0";"3,6";"339,0";"7,4";"792,30";"0,0"
